method,baseline,metric,n,mean_diff,ci95_lo,ci95_hi,significant_95,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue
fast_x2,original,bleu4,150,0.0023595127991567957,-0.0169500963100494,0.02197569802182078,False,0.23156767645363954,0.8171915256225478,2139.0,0.8585901814747144
fast_x2,original,meteor,150,-0.0010988943982302916,-0.021634023945633952,0.019847496520241707,False,-0.10323484893924642,0.9179153982583588,2258.0,0.7981039173452111
fast_x2,original,rougeL,150,-0.006905130438991057,-0.02575943269557879,0.011890064849101739,False,-0.7141188937002296,0.4762708633717301,1966.5,0.6165973850475566
sharp_anime_x4,original,bleu4,150,0.0014439616360055264,-0.02281630519522309,0.02469285130486916,False,0.11625778349930321,0.907604788045868,2800.0,0.5504461245261953
sharp_anime_x4,original,meteor,150,-0.002915068126322938,-0.02339743089504769,0.017312839190739702,False,-0.2785919285511006,0.7809442699501001,3025.0,0.8070693421467915
sharp_anime_x4,original,rougeL,150,-0.020360895921301324,-0.03852172603636583,-0.0027046989878121634,True,-2.2056556597066863,0.028939829014408433,2112.5,0.032203436536765155
general_x4plus,original,bleu4,150,0.010847246585295402,-0.012413768952668224,0.03320320299726343,False,0.9317986718907736,0.35294794656229517,2244.0,0.15334203865040227
general_x4plus,original,meteor,150,0.0096858162434563,-0.009825522989957274,0.029316338211353092,False,0.9648422351901784,0.33618718490205973,2297.0,0.2100387019493284
general_x4plus,original,rougeL,150,-0.0034730428899239886,-0.025214253314571278,0.01761943637419016,False,-0.3142937544457315,0.7537375782581704,2277.0,0.9911152547329231
auto_vehicle_x4,original,bleu4,150,0.010847246585295402,-0.012413768952668224,0.03320320299726343,False,0.9317986718907736,0.35294794656229517,2244.0,0.15334203865040227
auto_vehicle_x4,original,meteor,150,0.0096858162434563,-0.009825522989957274,0.029316338211353092,False,0.9648422351901784,0.33618718490205973,2297.0,0.2100387019493284
auto_vehicle_x4,original,rougeL,150,-0.0034730428899239886,-0.025214253314571278,0.01761943637419016,False,-0.3142937544457315,0.7537375782581704,2277.0,0.9911152547329231
