image_id,method,scale,psnr,ssim,lpips,elapsed_seconds,status
jxie_flickr8k_5524,bicubic_4x,4,23.006750837789212,0.6478131870665299,0.4444030523300171,0.0022034645080566406,ok
jxie_flickr8k_5524,general_x4plus,4,21.690589847871756,0.5519250732595445,0.3094811737537384,0.5609214305877686,ok
jxie_flickr8k_5524,sharp_anime_x4,4,21.73227465697071,0.5511831354423261,0.31105148792266846,0.14797091484069824,ok
jxie_flickr8k_5524,auto_vehicle_x4,4,21.690589847871756,0.5519250732595445,0.3094811737537384,0.5066170692443848,ok
jxie_flickr8k_5524,bicubic_2x,2,27.929349699982183,0.903245708057935,0.13770830631256104,0.002753019332885742,ok
jxie_flickr8k_5524,fast_x2,2,24.9890148141459,0.7901412848820226,0.12224111706018448,0.511096715927124,ok
jxie_flickr8k_5259,bicubic_4x,4,26.876960923515746,0.7415432477799376,0.3394560217857361,0.0022122859954833984,ok
jxie_flickr8k_5259,general_x4plus,4,26.925975871218952,0.7434542193645824,0.18019354343414307,0.5089304447174072,ok
jxie_flickr8k_5259,sharp_anime_x4,4,25.518857323760976,0.7103567908638403,0.23754701018333435,0.14809370040893555,ok
jxie_flickr8k_5259,auto_vehicle_x4,4,26.925975871218952,0.7434542193645824,0.18019354343414307,0.5089495182037354,ok
jxie_flickr8k_5259,bicubic_2x,2,32.79302385315287,0.9274500150973807,0.0909934788942337,0.002770662307739258,ok
jxie_flickr8k_5259,fast_x2,2,30.131615430047468,0.8679751864398639,0.08967319130897522,0.5086441040039062,ok
jxie_flickr8k_1676,bicubic_4x,4,25.414431083072376,0.7398458236699783,0.4619261622428894,0.0022368431091308594,ok
jxie_flickr8k_1676,general_x4plus,4,24.031342763470185,0.7036369614713602,0.332704097032547,0.5086541175842285,ok
jxie_flickr8k_1676,sharp_anime_x4,4,22.979567736453255,0.6742820172930383,0.44120898842811584,0.148118257522583,ok
jxie_flickr8k_1676,auto_vehicle_x4,4,24.031342763470185,0.7036369614713602,0.332704097032547,0.5079004764556885,ok
jxie_flickr8k_1676,bicubic_2x,2,30.38665435836308,0.9111643370697439,0.17874926328659058,0.002757549285888672,ok
jxie_flickr8k_1676,fast_x2,2,26.67136041011938,0.7950624521305371,0.23672765493392944,0.5113065242767334,ok
jxie_flickr8k_4205,bicubic_4x,4,33.242267492677,0.8812605928798624,0.40300750732421875,0.0022056102752685547,ok
jxie_flickr8k_4205,general_x4plus,4,30.390684770029836,0.8416043242602078,0.2567713260650635,0.5097858905792236,ok
jxie_flickr8k_4205,sharp_anime_x4,4,29.280579304404526,0.8163421621249533,0.36763811111450195,0.14850187301635742,ok
jxie_flickr8k_4205,auto_vehicle_x4,4,30.390684770029836,0.8416043242602078,0.2567713260650635,0.509660005569458,ok
jxie_flickr8k_4205,bicubic_2x,2,37.206482030212044,0.9460911275350202,0.18630561232566833,0.0027649402618408203,ok
jxie_flickr8k_4205,fast_x2,2,34.293421638925345,0.9022396616335014,0.18892912566661835,0.5115251541137695,ok
jxie_flickr8k_5560,bicubic_4x,4,22.583143695681066,0.6605231823421421,0.48778781294822693,0.002231597900390625,ok
jxie_flickr8k_5560,general_x4plus,4,22.64511132896196,0.6873404036010858,0.2251286506652832,0.50937819480896,ok
jxie_flickr8k_5560,sharp_anime_x4,4,21.109663479017623,0.6538604893785415,0.2916682958602905,0.14881014823913574,ok
jxie_flickr8k_5560,auto_vehicle_x4,4,22.64511132896196,0.6873404036010858,0.2251286506652832,0.5106925964355469,ok
jxie_flickr8k_5560,bicubic_2x,2,27.651630941729515,0.877425412786093,0.17467361688613892,0.00272369384765625,ok
jxie_flickr8k_5560,fast_x2,2,26.41634622035218,0.8158704551550976,0.13960430026054382,0.5096862316131592,ok
jxie_flickr8k_2989,bicubic_4x,4,21.472216646829352,0.5744322726114873,0.5200739502906799,0.0022521018981933594,ok
jxie_flickr8k_2989,general_x4plus,4,20.330079928109306,0.4937198452740641,0.3246777653694153,0.509774923324585,ok
jxie_flickr8k_2989,sharp_anime_x4,4,19.976510334772748,0.46583904320587705,0.4214355945587158,0.14953136444091797,ok
jxie_flickr8k_2989,auto_vehicle_x4,4,20.330079928109306,0.4937198452740641,0.3246777653694153,0.5173251628875732,ok
jxie_flickr8k_2989,bicubic_2x,2,25.426059201176585,0.8302515405099359,0.21953412890434265,0.0027666091918945312,ok
jxie_flickr8k_2989,fast_x2,2,23.039632482972063,0.67262118766071,0.18089303374290466,0.5106713771820068,ok
jxie_flickr8k_4986,bicubic_4x,4,26.209977992490188,0.7824261704503724,0.4582406282424927,0.0022194385528564453,ok
jxie_flickr8k_4986,general_x4plus,4,26.16396063581128,0.7701767816508315,0.17320707440376282,0.5104143619537354,ok
jxie_flickr8k_4986,sharp_anime_x4,4,24.670063093560213,0.683042090273732,0.21955689787864685,0.14809203147888184,ok
jxie_flickr8k_4986,auto_vehicle_x4,4,26.16396063581128,0.7701767816508315,0.17320707440376282,0.5102458000183105,ok
jxie_flickr8k_4986,bicubic_2x,2,30.535517590879454,0.9159538065304932,0.18089275062084198,0.0027472972869873047,ok
jxie_flickr8k_4986,fast_x2,2,29.93112717190573,0.8721183493384913,0.09796113520860672,0.5111620426177979,ok
jxie_flickr8k_4787,bicubic_4x,4,29.37974413000537,0.8341937836526244,0.29901668429374695,0.0022084712982177734,ok
jxie_flickr8k_4787,general_x4plus,4,25.604136886785746,0.7445577011419003,0.23836462199687958,0.5097541809082031,ok
jxie_flickr8k_4787,sharp_anime_x4,4,24.182978375631606,0.7321462179141923,0.27716171741485596,0.1489393711090088,ok
jxie_flickr8k_4787,auto_vehicle_x4,4,25.604136886785746,0.7445577011419003,0.23836462199687958,0.5097911357879639,ok
jxie_flickr8k_4787,bicubic_2x,2,35.4941185764384,0.9554459128679439,0.08708454668521881,0.0027399063110351562,ok
jxie_flickr8k_4787,fast_x2,2,28.94602322460461,0.8612271615919945,0.14954349398612976,0.5127019882202148,ok
jxie_flickr8k_4639,bicubic_4x,4,19.97536198788414,0.5653322066172052,0.502824068069458,0.0021927356719970703,ok
jxie_flickr8k_4639,general_x4plus,4,18.41003103817136,0.5239720726047712,0.2698970437049866,0.511397123336792,ok
jxie_flickr8k_4639,sharp_anime_x4,4,18.17454133750454,0.5045260260984445,0.32684922218322754,0.14928722381591797,ok
jxie_flickr8k_4639,auto_vehicle_x4,4,18.41003103817136,0.5239720726047712,0.2698970437049866,0.5129237174987793,ok
jxie_flickr8k_4639,bicubic_2x,2,25.370637158925966,0.8738046667958038,0.2008669376373291,0.00279998779296875,ok
jxie_flickr8k_4639,fast_x2,2,21.76921632685741,0.7179579114709757,0.18155446648597717,0.5120041370391846,ok
jxie_flickr8k_4755,bicubic_4x,4,18.423097637221726,0.4907917368950548,0.6341723203659058,0.002210855484008789,ok
jxie_flickr8k_4755,general_x4plus,4,17.610143072766363,0.47666827644575815,0.36867308616638184,0.5104520320892334,ok
jxie_flickr8k_4755,sharp_anime_x4,4,17.080871824192993,0.43549425386462276,0.4273785352706909,0.1496424674987793,ok
jxie_flickr8k_4755,auto_vehicle_x4,4,17.610143072766363,0.47666827644575815,0.36867308616638184,0.512338399887085,ok
jxie_flickr8k_4755,bicubic_2x,2,22.10028380899888,0.7876453217108118,0.2932204306125641,0.0027468204498291016,ok
jxie_flickr8k_4755,fast_x2,2,20.240858397857473,0.6640744294717799,0.26876670122146606,0.5123333930969238,ok
jxie_flickr8k_3114,bicubic_4x,4,31.322226121745985,0.8293559923771351,0.33997809886932373,0.002221822738647461,ok
jxie_flickr8k_3114,general_x4plus,4,30.9502396701767,0.8158674050837771,0.2156386375427246,0.5112171173095703,ok
jxie_flickr8k_3114,sharp_anime_x4,4,30.13295726848473,0.7930369783974279,0.3067885935306549,0.1487135887145996,ok
jxie_flickr8k_3114,auto_vehicle_x4,4,30.9502396701767,0.8158674050837771,0.2156386375427246,0.5103657245635986,ok
jxie_flickr8k_3114,bicubic_2x,2,36.72732592757975,0.9467535865728879,0.10898482799530029,0.0027790069580078125,ok
jxie_flickr8k_3114,fast_x2,2,33.224264771146515,0.8847383921637881,0.12232593446969986,0.5135159492492676,ok
jxie_flickr8k_4653,bicubic_4x,4,21.51734188149142,0.5155060856363537,0.5669454336166382,0.002201557159423828,ok
jxie_flickr8k_4653,general_x4plus,4,21.297948802991158,0.5046620512022869,0.3038402795791626,0.5109126567840576,ok
jxie_flickr8k_4653,sharp_anime_x4,4,20.54825153369866,0.46371878805252864,0.3778724670410156,0.1492910385131836,ok
jxie_flickr8k_4653,auto_vehicle_x4,4,21.297948802991158,0.5046620512022869,0.3038402795791626,0.5123894214630127,ok
jxie_flickr8k_4653,bicubic_2x,2,25.15058417161434,0.7971163413251294,0.2185640037059784,0.002791881561279297,ok
jxie_flickr8k_4653,fast_x2,2,23.566681356290555,0.6820576766245295,0.1885129064321518,0.5131359100341797,ok
jxie_flickr8k_198,bicubic_4x,4,28.626642508107928,0.720863015177,0.4120347499847412,0.002207517623901367,ok
jxie_flickr8k_198,general_x4plus,4,27.41380320018166,0.6908857336771419,0.28387826681137085,0.5117757320404053,ok
jxie_flickr8k_198,sharp_anime_x4,4,27.06295318744468,0.6657522730819875,0.34140339493751526,0.14829421043395996,ok
jxie_flickr8k_198,auto_vehicle_x4,4,27.41380320018166,0.6908857336771419,0.28387826681137085,0.5120811462402344,ok
jxie_flickr8k_198,bicubic_2x,2,33.11219834238612,0.8741392038510066,0.1705486923456192,0.0027391910552978516,ok
jxie_flickr8k_198,fast_x2,2,30.12653419411828,0.7567001529568301,0.24612967669963837,0.5129239559173584,ok
jxie_flickr8k_1891,bicubic_4x,4,25.18362952105507,0.7714629646605017,0.31649792194366455,0.0022420883178710938,ok
jxie_flickr8k_1891,general_x4plus,4,24.67541225969946,0.7428035092425489,0.15254482626914978,0.5112569332122803,ok
jxie_flickr8k_1891,sharp_anime_x4,4,23.10846221806143,0.6945319536347485,0.21158583462238312,0.14999842643737793,ok
jxie_flickr8k_1891,auto_vehicle_x4,4,24.67541225969946,0.7428035092425489,0.15254482626914978,0.5133392810821533,ok
jxie_flickr8k_1891,bicubic_2x,2,31.722955463462924,0.9406685210074383,0.0758705735206604,0.0027434825897216797,ok
jxie_flickr8k_1891,fast_x2,2,28.64436492078676,0.85728411590001,0.0664442777633667,0.5125277042388916,ok
jxie_flickr8k_4407,bicubic_4x,4,23.32068015439878,0.7894421463864748,0.3990674316883087,0.002233743667602539,ok
jxie_flickr8k_4407,general_x4plus,4,22.674881288223418,0.7563571679465287,0.23959361016750336,0.5102496147155762,ok
jxie_flickr8k_4407,sharp_anime_x4,4,20.655071982560745,0.684033375724923,0.29746702313423157,0.14855170249938965,ok
jxie_flickr8k_4407,auto_vehicle_x4,4,22.674881288223418,0.7563571679465287,0.23959361016750336,0.511340856552124,ok
jxie_flickr8k_4407,bicubic_2x,2,29.66043422861784,0.953187337572711,0.1079794391989708,0.002730131149291992,ok
jxie_flickr8k_4407,fast_x2,2,26.310330064262544,0.8709875029722247,0.132770836353302,0.5125236511230469,ok
jxie_flickr8k_1743,bicubic_4x,4,25.929524394310185,0.7893233774271612,0.3290233314037323,0.002235889434814453,ok
jxie_flickr8k_1743,general_x4plus,4,23.104823823891532,0.7179615573072207,0.2007453739643097,0.5060365200042725,ok
jxie_flickr8k_1743,sharp_anime_x4,4,21.628467457808114,0.662861836046762,0.2706739008426666,0.148695707321167,ok
jxie_flickr8k_1743,auto_vehicle_x4,4,23.104823823891532,0.7179615573072207,0.2007453739643097,0.5081071853637695,ok
jxie_flickr8k_1743,bicubic_2x,2,31.34288294319741,0.9401879431011476,0.08360621333122253,0.0027735233306884766,ok
jxie_flickr8k_1743,fast_x2,2,26.41407877030418,0.8461049362071206,0.10999168455600739,0.5139591693878174,ok
jxie_flickr8k_4762,bicubic_4x,4,27.053557165383417,0.7465049927348097,0.388937383890152,0.002221345901489258,ok
jxie_flickr8k_4762,general_x4plus,4,26.352840511131532,0.7141060925466428,0.21963244676589966,0.5120344161987305,ok
jxie_flickr8k_4762,sharp_anime_x4,4,24.553351774115967,0.681261379526665,0.2970016598701477,0.14855504035949707,ok
jxie_flickr8k_4762,auto_vehicle_x4,4,26.352840511131532,0.7141060925466428,0.21963244676589966,0.5106527805328369,ok
jxie_flickr8k_4762,bicubic_2x,2,31.907559947450213,0.9033933269359888,0.1383640468120575,0.002766847610473633,ok
jxie_flickr8k_4762,fast_x2,2,29.308242322098387,0.8211622977471187,0.13752679526805878,0.5142571926116943,ok
jxie_flickr8k_5657,bicubic_4x,4,24.431311450151657,0.6552689566920978,0.4650498628616333,0.002225637435913086,ok
jxie_flickr8k_5657,general_x4plus,4,23.076415739353003,0.5722438185079782,0.2976171672344208,0.5122466087341309,ok
jxie_flickr8k_5657,sharp_anime_x4,4,23.056417582825397,0.5463163661426179,0.3682907521724701,0.14889264106750488,ok
jxie_flickr8k_5657,auto_vehicle_x4,4,23.076415739353003,0.5722438185079782,0.2976171672344208,0.5119032859802246,ok
jxie_flickr8k_5657,bicubic_2x,2,30.937744394487645,0.9264626183870579,0.12045130133628845,0.0027756690979003906,ok
jxie_flickr8k_5657,fast_x2,2,27.038561451319453,0.7728435596020434,0.15549331903457642,0.5144839286804199,ok
jxie_flickr8k_5488,bicubic_4x,4,21.023208178868387,0.49486866978994054,0.5592058300971985,0.0022430419921875,ok
jxie_flickr8k_5488,general_x4plus,4,19.69316177199824,0.38742449732166834,0.26651060581207275,0.5120871067047119,ok
jxie_flickr8k_5488,sharp_anime_x4,4,19.81623066965775,0.3550656220665494,0.41888365149497986,0.15065360069274902,ok
jxie_flickr8k_5488,auto_vehicle_x4,4,19.69316177199824,0.38742449732166834,0.26651060581207275,0.5128588676452637,ok
jxie_flickr8k_5488,bicubic_2x,2,25.425295286243504,0.8268428260914082,0.18653345108032227,0.002747774124145508,ok
