scale,method,baseline,metric,n,mean_diff,ci95_lo,ci95_hi,significant_95,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue
2,fast_x2,bicubic_2x,psnr,100,-3.237176212592615,-3.498262445779188,-2.9855352842923133,True,-24.52704484844299,7.401376409148529e-44,0.0,3.896559845095909e-18
2,fast_x2,bicubic_2x,ssim,100,-0.09858713894408616,-0.1073807692652966,-0.09008416496361245,True,-21.961728338236952,7.729764220760007e-40,0.0,3.896559845095909e-18
2,fast_x2,bicubic_2x,lpips,100,0.0046435450203716755,-0.0031830153223127125,0.012714837236329912,False,1.1326651129109837,0.26009070182306143,2367.0,0.5869540189208129
4,auto_vehicle_x4,bicubic_4x,psnr,100,-1.1098058500344912,-1.2731146750618498,-0.9526020978753622,True,-13.58237858233914,2.3880274830723017e-24,72.0,3.3344510234599337e-17
4,auto_vehicle_x4,bicubic_4x,ssim,100,-0.04024555809243591,-0.045845730919831726,-0.034547164468458465,True,-13.81329183063319,7.9639779913069765e-25,99.0,7.343095847008848e-17
4,auto_vehicle_x4,bicubic_4x,lpips,100,-0.16168228253722192,-0.17453689836896957,-0.149324245499447,True,-24.77016356272601,3.1920334678089416e-44,5.0,4.531861061109546e-18
4,general_x4plus,bicubic_4x,psnr,100,-1.1098058500344912,-1.2731146750618498,-0.9526020978753622,True,-13.58237858233914,2.3880274830723017e-24,72.0,3.3344510234599337e-17
4,general_x4plus,bicubic_4x,ssim,100,-0.04024555809243591,-0.045845730919831726,-0.034547164468458465,True,-13.81329183063319,7.9639779913069765e-25,99.0,7.343095847008848e-17
4,general_x4plus,bicubic_4x,lpips,100,-0.16168228253722192,-0.17453689836896957,-0.149324245499447,True,-24.77016356272601,3.1920334678089416e-44,5.0,4.531861061109546e-18
4,sharp_anime_x4,bicubic_4x,psnr,100,-2.1194072008880305,-2.362031651741184,-1.8822796832719015,True,-17.111746147629137,2.462806890958765e-31,0.0,3.896559845095909e-18
4,sharp_anime_x4,bicubic_4x,ssim,100,-0.08204376393331397,-0.09356118371952768,-0.0721850295749894,True,-14.990047964505273,3.2523464102535176e-27,1.0,4.0161556854627e-18
4,sharp_anime_x4,bicubic_4x,lpips,100,-0.07870950236916542,-0.09135661633312701,-0.06606877039372921,True,-12.002306451660067,5.072718445993999e-21,233.0,3.257070457184411e-15
