mode,resolution,tile_size,n_ok,mean_seconds,std_seconds,crashed,ok
auto_vehicle_x4,512,128,6,4.370852669080098,0.034409642473876643,0,6
auto_vehicle_x4,512,256,6,3.8422931830088296,0.027799244338776348,0,6
auto_vehicle_x4,512,512,6,3.5331995487213135,0.029862320865386843,0,6
auto_vehicle_x4,1024,128,6,15.385267535845438,0.0520362671795729,0,6
auto_vehicle_x4,1024,256,6,12.939346075057983,0.036056082075090076,0,6
auto_vehicle_x4,1024,512,6,12.015589157740274,0.07736953019136994,0,6
auto_vehicle_x4,1920,128,6,52.007399837176,0.048834817277655235,0,6
auto_vehicle_x4,1920,256,6,44.17866055170695,0.04969829558674743,0,6
auto_vehicle_x4,1920,512,6,27.015108744303387,13.6440479020569,0,6
fast_x2,512,128,6,1.8734079202016194,0.036899849832575375,0,6
fast_x2,512,256,6,1.7076682647069295,0.04645654816797504,0,6
fast_x2,512,512,6,1.6116047302881877,0.027750566641306228,0,6
fast_x2,1024,128,6,4.9446215232213335,0.05711835286220572,0,6
fast_x2,1024,256,6,4.020301262537639,0.015360559588252007,0,6
fast_x2,1024,512,6,3.742244998613993,0.024098951641749057,0,6
fast_x2,1920,128,6,14.84188449382782,0.07668577370708207,0,6
fast_x2,1920,256,6,12.073159495989481,0.055156097431326226,0,6
fast_x2,1920,512,6,10.994231581687927,0.01888559415024339,0,6
general_x4plus,512,128,6,4.354750792185466,0.03291962909859258,0,6
general_x4plus,512,256,6,3.8022129933039346,0.02205193312630307,0,6
general_x4plus,512,512,6,3.569743514060974,0.052871710948301405,0,6
general_x4plus,1024,128,6,15.371901194254557,0.07944992388488475,0,6
general_x4plus,1024,256,6,12.9205930630366,0.03635984624840476,0,6
general_x4plus,1024,512,6,12.000100016593933,0.07315893813533708,0,6
general_x4plus,1920,128,6,51.97961131731669,0.12178932369396214,0,6
general_x4plus,1920,256,6,44.21187444527944,0.06175391628223657,0,6
general_x4plus,1920,512,6,26.987476030985516,13.558057816013308,0,6
general_x4plus_gfpgan,512,128,6,16.161673426628113,11.369451551524065,0,6
general_x4plus_gfpgan,512,256,6,9.59213630358378,3.604571992016969,0,6
general_x4plus_gfpgan,512,512,6,10.151240626970926,4.63667258787573,0,6
general_x4plus_gfpgan,1024,128,3,33.60305325190226,4.258994416818328,3,3
general_x4plus_gfpgan,1024,256,3,26.86384924252828,0.0074914255793309984,3,3
general_x4plus_gfpgan,1024,512,6,11.577228943506876,2.2575798535209444,0,6
general_x4plus_gfpgan,1920,128,6,53.66444273789724,0.2502967255193596,0,6
general_x4plus_gfpgan,1920,256,6,45.99856185913086,0.10040326350193714,0,6
general_x4plus_gfpgan,1920,512,6,27.239341298739117,14.424705598820045,0,6
sharp_anime_x4,512,128,6,1.8016984462738037,0.0278889510883095,0,6
sharp_anime_x4,512,256,6,1.6282881895701091,0.02604648393425918,0,6
sharp_anime_x4,512,512,6,1.5393542448679607,0.014360376479244867,0,6
sharp_anime_x4,1024,128,6,5.55341903368632,0.03328256896410978,0,6
sharp_anime_x4,1024,256,6,4.798078815142314,0.02222640043655155,0,6
sharp_anime_x4,1024,512,6,4.5130607684453325,0.030776878262378484,0,6
sharp_anime_x4,1920,128,6,18.095070958137512,0.10990837136038062,0,6
sharp_anime_x4,1920,256,6,15.651836276054382,0.07070313097277395,0,6
sharp_anime_x4,1920,512,6,8.635293046633402,4.238323912279865,0,6
